Dan;Mjesto;TrenutaènaTemperatura;Oborine;Vlaga;Vjetar;Trenutnovrijeme;Najveæatemperatura;Najmanjatemperatura
srijeda 16:00;Èakovec;8;0;36;16;Poluoblaèno;8;-2
èetvrtak 22:00;Èakovec;6;0;55;6;Poluoblaèno;11;-1
petak 23:00;Èakovec;6;73;73;6;Oblaèno;12;3
subota 13:00;Èakovec;7;90;85;4;Kiša;8;4
nedjelja 22:00;Èakovec;3;3;90;6;Vedro s povremenom naoblakom;9;0
ponedjeljak 17:00;Èakovec;14;0;40;7;Uglavnom sunèano;15;0
utorak 09:00;Èakovec;6;1;81;5;Uglavnom oblaèno;16;2
srijeda 09:00;Èakovec;7;5;60;5;Poluoblaèno;17;8
èetvrtak 23:00;Èakovec;7;90;95;14;Slabi pljuskovi uz kišu;9;6
petak 19:00;Èakovec;7;79;89;8;Slabi pljuskovi uz kišu;8;6
subota 18:00;Èakovec;11;90;74;8;Slabi pljuskovi uz kišu;12;5
nedjelja 17:00;Èakovec;10;54;82;14;Slabi pljuskovi uz kišu;11;7
ponedjeljak 23:00;Èakovec;12;79;72;16;Uglavnom oblaèno;16;9
utorak 10:00;Èakovec;11;56;83;16;Slabi pljuskovi uz kišu;13;8
srijeda 12:00;Èakovec;14;76;69;13;Oblaèno;14;4
èetvrtak 09:00;Èakovec;11;2;72;6;Poluoblaèno;18;6
petak 21:00;Èakovec;13;54;66;5;Poluoblaèno;18;4
subota 21:00;Èakovec;13;1;66;5;Vedro;21;7
nedjelja 21:00;Èakovec;17;63;57;8;Uglavnom oblaèno;22;11
ponedjeljak 11:00;Èakovec;14;84;72;11;Oblaèno;16;8
utorak 09:00;Èakovec;13;2;68;8;Sunèano;17;6
srijeda 12:00;Èakovec;13;2;51;10;Poluoblaèno;14;6
èetvrtak 09:00;Èakovec;8;1;74;3;Poluoblaèno;16;6
petak 22:00;Èakovec;13;2;81;5;Uglavnom oblaèno;18;8
subota 15:00;Èakovec;20;20;45;4;Uglavnom sunèano;22;10
nedjelja 14:00;Èakovec;17;0;51;18;Poluoblaèno;18;7
ponedjeljak 14:00;Èakovec;19;0;37;19;Poluoblaèno;20;10
utorak 14:00;Èakovec;17;85;70;10;Slabi pljuskovi uz kišu;18;11
srijeda 14:00;Èakovec;14;80;85;8;Poluoblaèno;16;7
èetvrtak 10:00;Èakovec;15;0;59;10;Sunèano;19;6
